品牌,型号,价格（元）,cpu型号,ram容量（gb）,rom容量（gb）,有线充电速度（w）,电池容量(mAh),屏幕刷新率(hz),屏幕分辨率(p),重量(g),前置（万像素）,后置（万像素）,屏幕尺寸（英寸）
华为,HUAWEI Mate 60 Pro（12GB/512GB）,6999,海思 麒麟 9000s,12,512,88,5000,120,1,225,1300,4800,6.82
华为,HUAWEI Mate 60（12GB/256GB）,5499,海思 麒麟 9000s,12,256,66,4750,120,1,209,1300,1200,6.69
华为,HUAWEI Mate 60 Pro（12GB/256GB）,6499,海思 麒麟 9000s,12,256,88,5000,120,1,225,1300,4800,6.82
华为,华为Mate 60 Pro+（16GB/512GB）,6999,海思 麒麟 9000s,16,512,88,5000,120,1,225,1300,4800,6.82
华为,华为Mate X5 （12GB/256GB）,13999,高通骁龙8+,12,512,66,5060,120,1,243,800,5000,7.85
华为,HUAWEI P60 Pro（8GB+256GB）,6988,高通骁龙8+,8,256,88,4815,120,1,200,1300,4800,6.67
华为,HUAWEI Mate 60（12GB/512GB）,5999,海思 麒麟 9000s,12,512,66,4750,120,1,209,1300,5000,6.69
华为,HUAWEI P60（8GB+256GB）,4988,高通骁龙8+,8,256,66,4815,120,1,197,1300,4800,6.67
华为,HUAWEI Mate X3（12GB+256GB）,12999,高通骁龙8+,12,256,66,2060,120,1,239,88,5000,7.85
华为,HUAWEI nova 11（8GB/128GB）,2349,高通 骁龙778G ,8,128,66,4500,120,1,168,6000,5000,6.7
华为,华为Mate X5 典藏版（16GB+1TB）,16999,高通骁龙8+,12,512,66,5060,120,4,243,800,5000,7.85
华为,华为畅享 60X（8GB/128GB）,1599,高通 骁龙680,8,128,22.5,7000,90,1,216,800,5000,6.95
华为,华为Mate 60 RS 非凡大师（16GB/512GB）,11999,海思 麒麟 9000s,16,512,88,5000,120,1,242,1300,4800,6.82
华为,华为畅享 60 Pro（8GB/128GB）,1599,高通 骁龙680,8,128,40,5000,90,1,193,800,5000,6.8
